City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,27.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
2,Kapaa,US,25.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Vaini,TO,25.09,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Grand Gaube,MU,25.22,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
12,Atuona,PF,25.78,light rain,-9.8,-139.0333,Villa Enata
13,Artur Nogueira,BR,30.69,few clouds,-22.5731,-47.1725,Novo Hotel
17,Padang,ID,26.03,few clouds,-0.9492,100.3543,Mercure Padang
18,Avarua,CK,25.03,light rain,-21.2078,-159.775,Paradise Inn
22,Georgetown,MY,26.96,heavy intensity rain,5.4112,100.3354,Cititel Penang
26,Santo Antonio Do Taua,BR,29.97,overcast clouds,-1.1519,-48.1294,Pousada Magno
48,Anori,BR,29.47,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
52,Lorengau,PG,27.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
56,Daru,PG,27.25,moderate rain,-9.0763,143.2092,Daru Lodge
61,Ixtapa,MX,25.57,broken clouds,20.7,-105.2,Hotel Plaza Providencia
62,Mvuma,ZW,25.82,few clouds,-19.2792,30.5283,Nyangombe Backpackers
66,Port Blair,IN,26.8,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
67,Itarema,BR,31.53,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
71,Santa Maria,BR,26.61,broken clouds,-29.6842,-53.8069,Hotel Morotin
80,Saquarema,BR,28.08,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
82,Namatanai,PG,26.41,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
85,Kavaratti,IN,27.57,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
86,Eydhafushi,MV,27.96,few clouds,5.1033,73.0708,Soneva Fushi
89,Bontang,ID,25.77,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
90,Guacimo,CR,30.32,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
94,Port Hedland,AU,28.03,clear sky,-20.3167,118.5667,The Esplanade Hotel
101,Palakkad,IN,27.03,few clouds,10.7833,76.65,Hotel Gazala
