City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,27.32,76,80,4.25,broken clouds
1,Chumikan,RU,54.7183,135.315,-23.69,93,98,4.8,overcast clouds
2,Kapaa,US,22.0752,-159.319,25.18,84,75,5.66,light rain
3,Hermanus,ZA,-34.4187,19.2345,18.28,73,85,5.99,overcast clouds
4,Vaini,TO,-21.2,-175.2,25.09,83,75,3.6,broken clouds
5,Airai,TL,-8.9266,125.4092,16.59,88,98,0.52,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,11.81,47,40,6.17,scattered clouds
7,Srednekolymsk,RU,67.45,153.6833,-33.2,100,96,2.95,overcast clouds
8,Grindavik,IS,63.8424,-22.4338,-1.74,74,90,3.6,overcast clouds
9,Albany,US,42.6001,-73.9662,5.81,69,99,0.45,overcast clouds
10,Grand Gaube,MU,-20.0064,57.6608,25.22,72,8,1.34,clear sky
11,Borogontsy,RU,62.6683,131.1683,-30.44,98,82,2.21,broken clouds
12,Atuona,PF,-9.8,-139.0333,25.78,78,35,10.57,light rain
13,Artur Nogueira,BR,-22.5731,-47.1725,30.69,36,15,3.23,few clouds
14,Cherskiy,RU,68.75,161.3,-29.86,98,100,2.29,overcast clouds
15,East London,ZA,-33.0153,27.9116,21.52,78,20,7.2,few clouds
16,Montenegro,ME,42.5,19.3,6.15,70,40,1.03,scattered clouds
17,Padang,ID,-0.9492,100.3543,26.03,86,22,1.29,few clouds
18,Avarua,CK,-21.2078,-159.775,25.03,94,40,3.6,light rain
19,Esperance,AU,-33.8667,121.9,12.91,78,43,3.51,scattered clouds
20,Tolbazy,RU,54.0241,55.8825,2.42,92,96,6.57,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,10.27,99,26,0.96,scattered clouds
22,Georgetown,MY,5.4112,100.3354,26.96,92,20,1.54,heavy intensity rain
23,Norman Wells,CA,65.282,-126.8329,-30.98,62,90,2.57,light snow
24,Baykalsk,RU,51.5058,104.1469,-3.05,72,99,2.46,overcast clouds
25,Ndele,CF,8.4109,20.6473,29.55,28,76,1.94,broken clouds
26,Santo Antonio Do Taua,BR,-1.1519,-48.1294,29.97,51,97,1.99,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,-6.31,94,100,11.63,snow
28,Cape Town,ZA,-33.9258,18.4232,19.08,58,90,8.04,overcast clouds
29,Izsak,HU,46.8045,19.3517,7.24,72,81,5.9,broken clouds
30,Fortuna,US,40.5982,-124.1573,10.19,93,1,2.57,clear sky
31,Naze,JP,28.3667,129.4833,13.57,71,99,8.12,overcast clouds
32,Bluff,NZ,-46.6,168.3333,10.45,91,11,1.55,few clouds
33,Bac Lieu,VN,9.285,105.7244,24.73,84,31,4.45,scattered clouds
34,Lebu,CL,-37.6167,-73.65,15.47,64,100,2.74,overcast clouds
35,High Prairie,CA,55.4334,-116.4858,3.61,76,65,3.95,broken clouds
36,Jamestown,US,42.097,-79.2353,4.49,75,75,4.63,broken clouds
37,Punta Arenas,CL,-53.15,-70.9167,13.06,38,40,10.29,scattered clouds
38,Tuy Hoa,VN,13.0833,109.3,21.98,86,100,5.66,overcast clouds
39,Mashhad,IR,36.297,59.6062,14.08,47,0,3.09,clear sky
40,Rawson,AR,-43.3002,-65.1023,23.79,27,71,4.28,broken clouds
41,Ouango,CF,4.3133,22.5552,25.65,73,95,0.44,overcast clouds
42,Jiuquan,CN,39.7432,98.5174,-4.13,37,0,1.1,clear sky
43,Lerwick,GB,60.1545,-1.1494,1.0,73,94,12.56,light rain
44,Komsomolskiy,UZ,40.4272,71.7189,4.68,69,0,3.09,mist
45,Tourlaville,FR,49.6383,-1.5664,9.33,81,75,5.66,broken clouds
